LINK,NAME OF EVENT,DATE
https://www.mofad.org/calendar/kids-in-the-kitchen-cool-cooking-with-wylie-dufresne,Kids in the Kitchen: Cool Cooking with Wylie Dufresne,"Saturday, April 2, 2016"
https://www.mofad.org/calendar/the-art-of-umami-with-hiroko-shimbo,The Art of Umami with Hiroko Shimbo,"Thursday, April 7, 2016"
https://www.mofad.org/calendar/kids-in-the-kitchen-senegalese-cooking-with-pierre-thiam,Kids in the Kitchen: Senegalese Cooking with Pierre Thiam,"Saturday, April 16, 2016"
https://www.mofad.org/calendar/the-magic-of-spices-history-culture-cuisine-with-lior-lev-sercarz,"The Magic of Spices: History, Culture, Cuisine, with Lior Lev Sercarz","Thursday, April 21, 2016"
https://www.mofad.org/calendar/j-kenji-lpez-alt-the-food-lab-at-mofad-lab,J. Kenji López-Alt: The Food Lab at MOFAD Lab,"Friday, April 29, 2016"
https://www.mofad.org/calendar/caribbean-brooklyn-cuisine-and-culture,Caribbean Brooklyn: Cuisine and Culture,"Thursday, May 5, 2016"
https://www.mofad.org/calendar/mofad-spring-benefit-dinner,MOFAD Spring Benefit Dinner,"Thursday, May 12, 2016"
https://www.mofad.org/calendar/tracing-north-brooklyns-polish-food-heritage,Tracing North Brooklyn’s Polish Food Heritage,"Thursday, May 19, 2016"
https://www.mofad.org/calendar/chinatown-a-legacy-of-culinary-diversity,Chinatown: A Legacy of Culinary Diversity,"Wednesday, May 25, 2016"
https://www.mofad.org/calendar/a-sensory-tasting-of-single-origin-honey,A Sensory Tasting of Single-Origin Honey,"Thursday, May 26, 2016"
https://www.mofad.org/calendar/the-anatomy-of-change-journalism-and-the-food-industry,The Anatomy of Change: Journalism and the Food Industry,"Thursday, June 2, 2016"
https://www.mofad.org/calendar/arthur-avenue-small-town-charm-big-city-appetite,"Arthur Avenue: Small Town Charm, Big City Appetite","Thursday, June 9, 2016"
https://www.mofad.org/calendar/fast-food-with-andrew-f-smith,Fast Food with Andrew F. Smith,"Tuesday, June 14, 2016"
https://www.mofad.org/calendar/immigration-in-the-kitchen-a-generation-of-food-entrepreneurs,Immigration in the Kitchen: A Generation of Food Entrepreneurs,"Thursday, June 16, 2016"
https://www.mofad.org/calendar/beyond-momos-himalayan-food-in-jackson-heights,Beyond Momos: Himalayan Food in Jackson Heights,"Thursday, June 23, 2016"
https://www.mofad.org/calendar/ice-cream-battle,Ice Cream Battle!,"Thursday, July 14, 2016"
https://www.mofad.org/calendar/making-the-museum-of-food-and-drink-a-conversation-on-experiential-design,Making the Museum of Food and Drink: A Conversation on Experiential Design,"Tuesday, July 19, 2016"
https://www.mofad.org/calendar/32-yolks-a-conversation-with-eric-ripert,32 Yolks: A Conversation with Eric Ripert,"Tuesday, August 30, 2016"
https://www.mofad.org/calendar/land-of-fish-and-rice-with-fuchsia-dunlop,Land of Fish and Rice with Fuchsia Dunlop,"Monday, November 7, 2016"
https://www.mofad.org/calendar/food-city-a-personal-view,Food City: A Personal View,"Thursday, November 10, 2016"
https://www.mofad.org/calendar/the-masters-of-social-gastronomy-present-chinese-takeout,The Masters of Social Gastronomy present Chinese Takeout,"Thursday, November 17, 2016"
https://www.mofad.org/calendar/mofad-night,MOFAD @ Night,"Friday, November 18, 2016"
https://www.mofad.org/calendar/spice-up-your-life-with-lior-lev-sercarz,Spice Up Your Life with Lior Lev Sercarz,"Thursday, December 1, 2016"
https://www.mofad.org/calendar/beer-and-cheese-pairing-for-the-holidays,Beer and Cheese Pairing for the Holidays,"Thursday, December 8, 2016"
https://www.mofad.org/calendar/mofad-night-1,MOFAD @ Night,"Friday, December 9, 2016"
https://www.mofad.org/calendar/an-evening-with-michael-twitty,An Evening with Michael Twitty,"Thursday, December 15, 2016"
https://www.mofad.org/calendar/brooklyn-meets-peru-with-chef-erik-ramirez-of-llama-inn,Brooklyn meets Peru with Chef Erik Ramirez of Llama Inn,"Tuesday, January 10, 2017"
https://www.mofad.org/calendar/united-states-of-chop-suey-heather-lee-in-conversation-with-anne-mendelson,United States of Chop Suey: Heather Lee in conversation with Anne Mendelson,"Thursday, January 12, 2017"
https://www.mofad.org/calendar/mofad-night-2,MOFAD @ Night,"Friday, January 13, 2017"
https://www.mofad.org/calendar/mexican-hospitality-with-the-chefs-of-cosme,Mexican Hospitality with the Chefs of Cosme,"Thursday, January 19, 2017"
https://www.mofad.org/calendar/mofad-chinese-new-year-party-hosted-by-panda-express,"MOFAD Chinese New Year Party, Hosted by Panda Express","Wednesday, January 25, 2017"
https://www.mofad.org/calendar/my-chinatown-childrens-event-with-kam-mak,MY CHINATOWN Children's event with Kam Mak,"Saturday, January 28, 2017"
https://www.mofad.org/calendar/mofad-night-3,MOFAD @ Night,"Friday, February 3, 2017"
https://www.mofad.org/calendar/chinese-tea-tasting-with-shunan-teng,Chinese Tea Tasting with Shunan Teng,"Monday, February 13, 2017"
https://www.mofad.org/calendar/hand-pulled-noodles-of-xian,Hand Pulled Noodles of Xi'an,"Thursday, February 23, 2017"
https://www.mofad.org/calendar/global-flavors-how-curry-soy-sauce-and-sriracha-became-american,"Global Flavors: How Curry, Soy Sauce, and Sriracha Became American","Thursday, March 9, 2017"
https://www.mofad.org/calendar/mofad-night-4,MOFAD @ Night,"Friday, March 10, 2017"
https://www.mofad.org/calendar/handmade-couscous-with-einat-admony,Handmade Couscous with Einat Admony,"Thursday, March 16, 2017"
https://www.mofad.org/calendar/food-is-culture-japanese-quick-pickles-with-hiroko-shimbo,Food is Culture: Japanese Quick Pickles with Hiroko Shimbo,"Saturday, March 18, 2017"
https://www.mofad.org/calendar/shio-koji-workshop-with-hiroko-shimbo,Shio Koji Workshop with Hiroko Shimbo,"Thursday, March 23, 2017"
https://www.mofad.org/calendar/african-culinary-traditions-with-pierre-thiam,African Culinary Traditions with Pierre Thiam,"Thursday, March 30, 2017"
https://www.mofad.org/calendar/mofad-night-4-hd58y,MOFAD @ Night ,"Friday, March 31, 2017"
https://www.mofad.org/calendar/2017-spring-benefit-dinner,2017 Spring Benefit Dinner,"Thursday, April 13, 2017"
https://www.mofad.org/calendar/mezcal-and-the-taste-of-oaxaca,Mezcal and the Taste of Oaxaca,"Thursday, May 4, 2017"
https://www.mofad.org/calendar/mofad-night-5,MOFAD @ Night,"Friday, May 12, 2017"
